Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
dialpad,1,1,40500,67,20.12,https://www.dialpad.com/,32400,3.38,651888.00,0.58,2410000,"[66,81,81,81,81,81,81,81,81,81,81,66]",2026-02-23,"Knowledge panel, Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Related searches, Ads middle",navigational,Organic
602 area code,1,1,110000,43,1.15,https://www.dialpad.com/features/local-phone-numbers/602-area-code/,27280,2.85,31372.00,0,72600000,"[67,81,67,100,81,81,81,81,81,100,81,81]",2026-02-17,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
959 area code,1,1,27100,31,0.00,https://www.dialpad.com/features/local-phone-numbers/959-area-code/,6720,0.7,0.00,0,36600000,"[36,54,81,66,44,44,54,100,100,54,36,36]",2026-02-21,"Image pack, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
347 area code,4,4,201000,38,0.00,https://www.dialpad.com/features/local-phone-numbers/347-area-code/,4422,0.46,0.00,0,115000000,"[54,66,66,66,66,81,66,81,66,54,66,54]",2026-02-17,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
551 is what area code,1,1,14800,17,0.00,https://www.dialpad.com/features/local-phone-numbers/551-area-code/,3670,0.38,0.00,0,78500000,"[24,29,36,67,54,29,10,44,81,24,67,100]",2026-02-15,"Video, Featured snippet, People also ask, Related searches",informational,Organic
323 area code,3,3,165000,37,0.67,https://www.dialpad.com/features/local-phone-numbers/323-area-code/,3630,0.37,2432.00,0,136000000,"[54,44,44,54,44,44,44,44,44,66,54,81]",2026-02-16,"Image pack, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
720 area code,2,2,135000,33,0.00,https://www.dialpad.com/features/local-phone-numbers/720-area-code/,3240,0.33,0.00,0,127000000,"[81,81,81,100,81,100,81,81,81,81,81,81]",2026-02-15,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
206 area code,4,4,135000,44,0.00,https://www.dialpad.com/features/local-phone-numbers/206-area-code/,3240,0.33,0.00,0,240000000,"[82,82,54,67,67,67,67,67,67,67,82,54]",2026-02-17,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
470 area code,2,2,135000,29,0.92,https://www.dialpad.com/features/local-phone-numbers/470-area-code/,3240,0.33,2980.00,0,107000000,"[67,67,54,54,54,67,54,54,54,54,54,36]",2026-02-17,"Image pack, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
washington 206 area code,1,1,12100,38,0.00,https://www.dialpad.com/features/local-phone-numbers/206-area-code/,3000,0.31,0.00,0,18000000,"[0,0,0,0,0,81,100,0,0,0,24,0]",2026-02-17,"Video, Featured snippet, People also ask, Related searches, Short videos",informational,Organic
virtual phone number,1,1,12100,55,7.36,https://www.dialpad.com/features/virtual-phone-number/,3000,0.31,22080.00,0.5,1420000000,"[29,20,20,20,20,16,16,20,24,44,54,16]",2026-02-20,"Sitelinks, Video, Ads top, People also ask, Related searches, Things to know, Ads middle",commercial,Organic
512 area code,4,4,135000,29,0.35,https://www.dialpad.com/features/local-phone-numbers/512-area-code/,2970,0.31,1039.00,0,143000000,"[81,100,81,100,100,100,100,100,100,100,100,81]",2026-02-13,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
480 area code,3,3,135000,33,0.00,https://www.dialpad.com/features/local-phone-numbers/480-area-code/,2970,0.31,0.00,0,149000000,"[66,81,66,81,81,66,66,81,81,100,81,66]",2026-02-17,"Image pack, Video, People also ask, Related searches, See results about, AI overview",informational,Organic
